Tanggal,Jam,Tanggal Jam,Meninggal,Sembuh,Self Isolation,Masih Perawatan,Total Pasien,Positif Harian,Positif Aktif,Sembuh Harian,Tanpa Gejala,Bergejala,Belum Ada Data
4/26/2022,,,15268,1230600,1077,269,1247214,199,1346,232,13,30,1303
4/27/2022,,,15271,1230742,1053,278,1247344,130,1331,142,12,37,1282
4/28/2022,,,15272,1230989,951,245,1247457,113,1196,247,8,30,1158
4/29/2022,,,15273,1231171,923,216,1247583,126,1139,182,4,25,1110
4/30/2022,,,15274,1231413,829,218,1247734,151,1047,242,3,20,1024
5/1/2022,,,15275,1231573,756,211,1247815,81,967,160,2,19,946
5/2/2022,,,15277,1231709,708,209,1247903,88,917,136,1,12,904
5/3/2022,,,15278,1231833,623,209,1247943,40,832,124,0,8,824
5/4/2022,,,15280,1231950,587,188,1248005,62,775,117,0,6,769
5/5/2022,,,15281,1232106,510,194,1248091,86,704,156,0,1,703
5/6/2022,,,15282,1232228,476,194,1248180,89,670,122,0,0,670
5/7/2022,,,15283,1232328,438,193,1248242,62,631,100,1,2,628
5/8/2022,,,15284,1232444,408,184,1248320,78,592,116,0,2,590
5/9/2022,,,15285,1232527,419,191,1248422,102,610,83,0,5,605
5/10/2022,,,15287,1232618,490,177,1248572,150,667,91,1,8,658
5/11/2022,,,15288,1232696,549,168,1248701,129,717,78,1,13,703
5/12/2022,,,15290,1232729,614,168,1248801,100,782,33,2,11,769
5/13/2022,,,15291,1232772,664,175,1248902,101,839,43,4,12,823
5/14/2022,,,15292,1232867,676,181,1249016,114,857,95,4,14,839
5/15/2022,,,15293,1232939,686,191,1249109,93,877,72,2,8,867
5/16/2022,,,15293,1233010,701,175,1249179,70,876,71,2,8,866
5/17/2022,,,15293,1233102,670,189,1249254,75,859,92,4,9,846
5/18/2022,,,15294,1233206,670,197,1249367,113,867,104,8,12,847
5/19/2022,,,15294,1233387,589,187,1249457,90,776,181,5,11,760
5/20/2022,,,15294,1233494,564,187,1249539,82,751,107,8,14,729
5/21/2022,,,15294,1233575,581,182,1249632,93,763,81,8,12,743
5/22/2022,,,15296,1233664,594,188,1249742,110,782,89,4,9,769
5/23/2022,,,15297,1233779,548,176,1249800,58,724,115,6,17,701
5/24/2022,,,15300,1233873,580,195,1249948,148,775,94,9,16,750
5/25/2022,,,15300,1233937,631,208,1250076,128,839,64,8,15,816
5/26/2022,,,15300,1234021,669,210,1250200,124,879,84,8,15,856
5/27/2022,,,15300,1234087,709,214,1250310,110,923,66,10,19,894
5/28/2022,,,15300,1234180,723,211,1250414,104,934,93,5,12,917
5/29/2022,,,15300,1234280,722,201,1250503,89,923,100,5,8,910
5/30/2022,,,15303,1234376,704,201,1250584,81,905,96,5,8,892
5/31/2022,,,15303,1234487,729,197,1250716,132,926,111,9,3,914
6/1/2022,,,15303,1234566,823,188,1250880,164,1011,79,9,2,1000
6/2/2022,,,15303,1234723,830,182,1251038,158,1012,157,9,4,999
6/3/2022,,,15303,1234863,850,195,1251211,173,1045,140,7,2,1036
6/4/2022,,,15303,1234976,913,192,1251384,173,1105,113,6,2,1097
6/5/2022,,,15303,1235069,1011,196,1251579,195,1207,93,5,2,1200
6/6/2022,,,15303,1235172,1064,187,1251726,147,1251,103,4,4,1243
6/7/2022,,,15303,1235274,1222,187,1251986,260,1409,102,1,7,1401
6/8/2022,,,15303,1235370,1417,184,1252274,288,1601,96,0,10,1591
6/9/2022,,,15303,1235508,1548,191,1252550,276,1739,138,0,12,1727
6/10/2022,,,15303,1235666,1715,199,1252883,333,1914,158,0,12,1902
6/11/2022,,,15303,1235838,1852,204,1253197,314,2056,172,0,10,2046
6/12/2022,,,15303,1236002,2000,214,1253519,322,2214,164,0,9,2205
6/13/2022,,,15304,1236184,2179,200,1253867,348,2379,182,0,14,2365
6/14/2022,,,15304,1236374,2446,260,1254384,517,2706,190,0,14,2692
6/15/2022,,,15304,1236528,2980,302,1255114,730,3282,154,0,15,3267
6/16/2022,,,15305,1236820,3346,339,1255810,696,3685,292,0,14,3671
6/17/2022,,,15305,1237109,3712,370,1256496,686,4082,289,0,20,4062
6/18/2022,,,15305,1237400,4122,402,1257229,733,4524,291,0,20,4504
6/19/2022,,,15308,1237676,4543,437,1257964,735,4980,276,0,18,4962
6/20/2022,,,15309,1238059,4844,453,1258665,701,5297,383,0,15,5282
6/21/2022,,,15311,1238392,5420,495,1259618,953,5915,333,0,15,5900
6/22/2022,,,15311,1238754,6276,503,1260844,1226,6779,362,0,15,6764
6/23/2022,,,15311,1239359,6714,514,1261898,1054,7228,605,0,34,7194
6/24/2022,,,15313,1240028,7301,522,1263164,1266,7823,669,0,56,7767
6/25/2022,,,15313,1240738,7596,562,1264209,1045,8158,710,0,43,8115
6/26/2022,,,15313,1241429,7931,591,1265264,1055,8522,691,0,41,8481
6/27/2022,,,15313,1242286,7901,602,1266102,838,8503,857,0,27,8476
6/28/2022,,,15314,1243032,8375,631,1267352,1250,9006,746,0,27,8979
6/29/2022,,,15314,1243738,8801,633,1268486,1134,9434,706,0,27,9407
6/30/2022,,,15315,1244833,8926,667,1269741,1255,9593,1095,0,27,9566
7/1/2022,,,15316,1245980,8829,716,1270841,1100,9545,1147,0,35,9510
7/2/2022,,,15317,1247144,8675,688,1271824,983,9363,1164,0,24,9339
7/3/2022,,,15320,1248357,8333,745,1272755,931,9078,1213,0,18,9060
